Campaign name,Ad set name,Ad name,Amount spent,Impressions,Clicks,Results,Purchase conversion value
Campanha Institucional,Interesses,Estático 01,412.50,38000,690,11,880.00
Campanha Institucional,Interesses,Estático 02,398.20,36500,655,9,720.00
Campanha Institucional,Lookalike 1%,Carrossel 01,455.00,41000,740,14,1150.00
Campanha Institucional,Lookalike 1%,Video 02,470.80,43200,610,7,560.00
Remarketing Carrinho,Custom Audience,UGC 03,610.00,29000,980,42,6200.00
Remarketing Carrinho,Custom Audience,UGC 04,590.40,27500,910,38,5600.00
Remarketing Carrinho,Visitantes 30 dias,Estático 05,600.00,28800,860,32,4800.00
Prospecção Broad,Broad,Video 04,780.00,62000,850,9,1150.00
Prospecção Broad,Broad,Estático 06,820.00,65500,790,7,890.00
Prospecção Broad,Interesses Amplos,Carrossel 02,850.00,68000,910,11,1400.00
Prospecção Broad,Interesses Amplos,UGC 07,750.00,58000,760,6,780.00
Campanha Black Friday,Lookalike 1%,Carrossel 03,690.00,52000,1250,29,5200.00
Campanha Black Friday,Lookalike 1%,UGC 08,705.50,53500,1300,31,5600.00
Campanha Black Friday,Interesses,Video 05,680.00,50000,1180,25,4300.00
Campanha Black Friday,Custom Audience,Estático 07,715.00,54000,1220,27,4900.00
Institucional Vídeo,Interesses Amplos,Video 01,410.00,39000,320,1,80.00
Institucional Vídeo,Interesses Amplos,Video 06,395.00,37500,300,0,0.00
Geração de Leads,Formulário Instantâneo,Estático 08,520.00,44000,980,58,0.00
Geração de Leads,Formulário Instantâneo,Carrossel 04,505.30,42800,940,54,0.00
Geração de Leads,Lookalike 2%,UGC 09,498.00,41500,905,49,0.00
